elapsed_s,step,lr,mae
300.0,10514,9.995e-04,0.246309
600.0,20685,9.980e-04,0.199174
900.0,30846,9.955e-04,0.191810
1200.0,40838,9.922e-04,0.181319
1500.0,50965,9.878e-04,0.169435
1800.0,61090,9.825e-04,0.166815
2100.0,71082,9.764e-04,0.161615
2400.0,81211,9.692e-04,0.162957
2700.0,91400,9.612e-04,0.163010
3000.0,101442,9.523e-04,0.157873
3300.0,111561,9.425e-04,0.157772
3600.0,121552,9.320e-04,0.154178
3900.0,131724,9.205e-04,0.156218
4200.0,141856,9.082e-04,0.154119
4500.0,151977,8.951e-04,0.152648
4800.0,161982,8.814e-04,0.151260
5100.0,172107,8.669e-04,0.151551
5400.0,182066,8.518e-04,0.150249
5700.0,192171,8.359e-04,0.151278
6000.0,202308,8.193e-04,0.150503
6300.0,212432,8.022e-04,0.152021
6600.0,222441,7.846e-04,0.149038
6900.0,232571,7.663e-04,0.149986
7200.0,242530,7.478e-04,0.156160
7500.0,252651,7.285e-04,0.147499
7800.0,262769,7.088e-04,0.148661
8100.0,272893,6.886e-04,0.150917
8400.0,282869,6.685e-04,0.147936
8700.0,292980,6.477e-04,0.147563
9000.0,302995,6.269e-04,0.148960
9300.0,313130,6.055e-04,0.147743
9600.0,323258,5.840e-04,0.147752
9900.0,333387,5.624e-04,0.150773
10200.0,343392,5.408e-04,0.148558
10500.0,353515,5.190e-04,0.146622
10800.0,363499,4.974e-04,0.146610
11100.0,373635,4.756e-04,0.147306
11400.0,383762,4.538e-04,0.146261
11700.0,393898,4.321e-04,0.147118
12000.0,403891,4.108e-04,0.147008
12300.0,413989,3.895e-04,0.146647
12600.0,423935,3.687e-04,0.146228
12900.0,434058,3.478e-04,0.146639
13200.0,444185,3.272e-04,0.145693
13500.0,454312,3.070e-04,0.147030
13800.0,464281,2.875e-04,0.145723
14100.0,474397,2.681e-04,0.145572
14400.0,484402,2.493e-04,0.145391
14700.0,494556,2.308e-04,0.145185
15000.0,504710,2.128e-04,0.144934
